Team,2026,2027,2028,2029,2030,2031
LAD,240412861,237192198,215690489,149344838,120975815,97975815
NYM,228520674,187842732,147102821,114852821,98977821,78477821
ATL,213000000,145500000,108000000,91000000,54000000,37000000
NYY,197333333,186333333,170333334,71500000,71500000,71500000
SD,194856564,177606564,151656564,124656564,134656564,122370850
TOR,193025266,140276829,123378720,81320517,88039286,37714285
PHI,189382617,127882617,88882617,89382617,90382621,50811189
HOU,172116666,152066666,90166672,38000000,20000000,15000000
BOS,166441666,126441666,99091666,77591668,89425000,80125000
CHC,166000000,71000000,44250000,26000000,,
TEX,149750000,144000000,71500000,31500000,31500000,31500000
SF,140559523,131059523,129309523,105309523,84809525,59642858
LAA,126913098,71841666,49616666,37116666,37116674,
MIL,121982605,39895682,42140217,48250000,16250000,17250000
ARI,103508333,106508333,107508333,113008333,118858333,69500000
SEA,99127380,75002380,79852380,44852380,42666668,38000000
KC,98794444,76194444,62111111,36111111,36111111,35000000
STL,80000000,63500000,17500000,,,
COL,76214285,66214285,38214285,14214285,16214285,23000000
DET,62333333,28333333,5333333,5333334,10000000,13000000
TB,59654545,40454545,25454545,25454545,25454545,25454545
CIN,57083333,27583333,30833334,29000000,12000000,
MIN,48892857,46892857,25142858,25000000,20000000,15000000
WSH,47186200,5375000,7375000,9375000,9375000,12000000
ATH,47178571,56428571,23428571,29428571,36428571,16428571
CHW,47100000,35100000,,,,
CLE,46300000,47650000,52900000,21400000,21000000,
PIT,31161500,33661500,35661500,15250000,15250000,20000000
BAL,23625000,18125000,1625000,4625000,7625000,11625000
MIA,22300000,21000000,,,,
Totals,3450754654,2686963057,2044059539,1458877773,1308616819,978375934
